tag,theta,phi,R_cross,R_co,T_cross,T_tot,A,abs_rx,abs_ry,dphi_r_deg,energy_x
rectangle,75.0,75.0,0.2708532214164734,0.17703968286514282,0.04690426588058472,0.13990506529808044,0.4122020900249481,0.1382664442062378,0.9209797382354736,128.6784210205078,0.9999999925494194
rectangle,75.0,90.0,0.27518564462661743,0.15018397569656372,0.12013150751590729,0.31576764583587646,0.2588626742362976,0.14824539422988892,0.910364031791687,157.8548126220703,0.9999999944120646
rectangle,80.0,0.0,0.555225133895874,0.004585503600537777,0.04001306742429733,0.2543717324733734,0.18581756949424744,0.6774195432662964,0.8128494024276733,-180.06777954101562,1.0
rectangle,80.0,15.0,0.548395037651062,0.006879840977489948,0.039937373250722885,0.2579256594181061,0.18679937720298767,0.6551084518432617,0.8173414468765259,-182.71243286132812,1.0
rectangle,80.0,30.0,0.5039820075035095,0.020789742469787598,0.043127141892910004,0.24933433532714844,0.2258940041065216,0.5711753368377686,0.8145697116851807,-193.0188446044922,1.0000000298023224
rectangle,80.0,45.0,0.40331757068634033,0.0768885686993599,0.04042297601699829,0.16971230506896973,0.35008156299591064,0.3753763735294342,0.8331935405731201,-212.499267578125,1.0000000149011612
rectangle,80.0,60.0,0.346436083316803,0.14170676469802856,0.006370194256305695,0.032234031707048416,0.47962304949760437,0.24335454404354095,0.9110340476036072,136.6391143798828,1.0000000186264515
rectangle,80.0,75.0,0.42978182435035706,0.09409253299236298,0.0483759269118309,0.14099538326263428,0.3351302146911621,0.37491732835769653,0.9454530477523804,158.1651153564453,0.9999999701976776
rectangle,80.0,90.0,0.44535335898399353,0.07701250910758972,0.11164523661136627,0.2906777262687683,0.18695637583732605,0.3994885981082916,0.9408191442489624,168.5302734375,1.0
rectangle,85.0,0.0,0.7396258115768433,0.0014177178964018822,0.02518252097070217,0.15032298862934113,0.10863345116376877,0.8224407434463501,0.8975958824157715,-179.68313598632812,1.0
rectangle,85.0,15.0,0.7329188585281372,0.0021858818363398314,0.025335609912872314,0.1551109254360199,0.109784334897995,0.8086024522781372,0.901110827922821,-180.91477966308594,1.0
rectangle,85.0,30.0,0.6921752691268921,0.006997190415859222,0.028193727135658264,0.1600712090730667,0.14075632393360138,0.7541214823722839,0.8995828032493591,-185.7512969970703,1.0
rectangle,85.0,45.0,0.5910904407501221,0.02955866977572441,0.029237888753414154,0.12452583760023117,0.2548249363899231,0.6121454834938049,0.9047744870185852,-193.93556213378906,1.0
rectangle,85.0,60.0,0.5485621690750122,0.05586464703083038,0.005568009801208973,0.023781929165124893,0.37179121375083923,0.5240579843521118,0.9491686224937439,163.14442443847656,0.9999999850988388
rectangle,85.0,75.0,0.6565709114074707,0.02998042106628418,0.036423459649086,0.10209758579730988,0.21135090291500092,0.6514059901237488,0.9720903635025024,170.57855224609375,1.0
rectangle,85.0,90.0,0.6721435189247131,0.023836277425289154,0.07773659378290176,0.19676463305950165,0.10725557059049606,0.6705676913261414,0.970720648765564,174.85108947753906,1.0
rectangle,88.0,0.0,0.8853364586830139,0.00026467005955055356,0.011600388213992119,0.06678697466850281,0.047611892223358154,0.9247099161148071,0.9571383595466614,-179.83798217773438,1.0
rectangle,88.0,15.0,0.8815454840660095,0.00041579926619306207,0.011740521527826786,0.0696520060300827,0.04838664457201958,0.9184714555740356,0.9589054584503174,-180.3242645263672,1.0
rectangle,88.0,30.0,0.8582223653793335,0.0013807215727865696,0.013409397564828396,0.0751982033252716,0.06519857048988342,0.8929430842399597,0.9580289721488953,-182.2222137451172,1.0
rectangle,88.0,45.0,0.7946275472640991,0.006447772495448589,0.01508734468370676,0.06522884219884872,0.13369573652744293,0.8206296563148499,0.9582496285438538,-185.3501739501953,1.0
rectangle,88.0,60.0,0.7700538635253906,0.012502113357186317,0.003290580352768302,0.01272186916321516,0.20472204685211182,0.7761399149894714,0.9774181842803955,173.58644104003906,1.0000000037252903
rectangle,88.0,75.0,0.8421213626861572,0.005856094881892204,0.01870037242770195,0.05084240064024925,0.10118013620376587,0.847211480140686,0.9886688590049744,176.34136962890625,1.0
rectangle,88.0,90.0,0.8509974479675293,0.004569363314658403,0.03866130858659744,0.09566309303045273,0.04877016693353653,0.8569700121879578,0.9882994890213013,178.00180053710938,1.0
