CQe,Cm,Cp,F,Qxx_im,Qxx_re,Qxy_im,Qxy_re,Qxz_im,Qxz_re,Qyy_im,Qyy_re,Qyz_im,Qyz_re,Qzz_im,Qzz_re,S_Qxz,S_px,Tx_im,Tx_re,beta,it,lr,mx_im,mx_re,my_im,my_re,mz_im,mz_re,px_im,px_re,py_im,py_re,pz_im,pz_re,t
1.6715795453778014e-14,2.0028302890375654e-14,4.215640800862623e-13,-1.2819563297406438,1.1347329179862678e-39,4.992416479490569e-40,1.986276239080173e-39,-3.648407068867024e-41,2.495624354950447e-37,-2.69339998143437e-37,-2.5505330829318758e-39,-2.165471229414304e-40,-4.099412285691142e-41,7.284641056282108e-41,1.4158050435613636e-39,-2.826949026098489e-40,0.05525512298300244,1.3935877817943194,4.52033391106985e-41,-5.289949076278947e-38,56.234132519034915,70,0.007411809548974794,3.3915511076646215e-27,-9.236658853566788e-27,5.418051362113004e-23,4.9448021332086956e-23,-9.43536371542165e-27,-2.0389428901964413e-27,1.122545161131064e-30,-3.6282065274666377e-34,2.6201395686019518e-34,3.5715300044779544e-35,-2.373824091958341e-33,2.3626995509863865e-33,248.0599489212036
,,,-1.2819660722492001,,,,,,,,,,,,,0.055253346586806,1.3936054309791146,,,59.56621435290104,71,0.007159846552960774,,,,,,,,,,,,,251.28652691841125
,,,-1.2819511997984936,,,,,,,,,,,,,0.05525449219281658,1.393617989402076,,,63.09573444801931,72,0.006909830056250526,,,,,,,,,,,,,254.514386177063
,,,-1.2819413809128148,,,,,,,,,,,,,0.05525192407503361,1.3937101340690998,,,66.83439175686142,73,0.006661931407662291,,,,,,,,,,,,,257.95455145835876
,,,-1.2819474136014606,,,,,,,,,,,,,0.055253839698431624,1.3936449998712805,,,70.7945784384138,74,0.006416320504546998,,,,,,,,,,,,,261.2878351211548
,,,-1.2819488936107934,,,,,,,,,,,,,0.055249231435271905,1.3937571163497695,,,74.98942093324557,75,0.006173165676349103,,,,,,,,,,,,,264.80666995048523
,,,-1.2819455886145312,,,,,,,,,,,,,0.05525258646926955,1.3936816971673072,,,79.43282347242811,76,0.0059326335692419995,,,,,,,,,,,,,268.0191400051117
,,,-1.281919454531158,,,,,,,,,,,,,0.055248059309573175,1.3938687518790716,,,84.13951416451945,77,0.005694889031917051,,,,,,,,,,,,,271.4991178512573
,,,-1.2819172006269093,,,,,,,,,,,,,0.05525564663686893,1.3936836378047437,,,89.12509381337456,78,0.005460095002604533,,,,,,,,,,,,,274.8238091468811
,,,-1.2818841928355271,,,,,,,,,,,,,0.05525796812945537,1.3937170905072196,,,94.40608762859232,79,0.005228412397403915,,,,,,,,,,,,,278.2382290363312
1.671807897980669e-14,2.0037332854243328e-14,4.2158137344949133e-13,-1.2818679441263,1.1741034760743202e-39,5.089742311244408e-40,1.9063024309558744e-39,-4.3252903590161965e-41,2.4956407338981978e-37,-2.6937262599862515e-37,-2.6254375554671698e-39,-2.2348517681784505e-40,-1.294369018231345e-40,1.6903468990397422e-40,1.4513317663793697e-39,-2.854887865884698e-40,0.055262661570121,1.3936440116447701,4.4080618779454427e-41,-5.288923289155661e-38,99.99999999999996,80,0.005000000000000003,-1.0001397859099079e-26,-2.61602088449436e-26,5.419634460391655e-23,4.945519092407362e-23,-1.0494263905945243e-26,2.0040525383801035e-26,1.122567804211013e-30,-3.7340879492959324e-34,2.5603427068416535e-34,6.589051595332957e-35,-2.4610300056996936e-33,2.4513617495119417e-33,281.41774463653564
,,,-1.2818195513694044,,,,,,,,,,,,,0.05526597079177845,1.3936954458832438,,,105.92537251772882,81,0.004775014352840512,,,,,,,,,,,,,284.70446372032166
,,,-1.28178448122796,,,,,,,,,,,,,0.055267611844781,1.393751817809515,,,112.20184543019624,82,0.004553609649849732,,,,,,,,,,,,,288.3846707344055
,,,-1.2817320595771962,,,,,,,,,,,,,0.05527296922729915,1.3937628461928036,,,118.8502227437018,83,0.004335937630751669,,,,,,,,,,,,,291.9598412513733
,,,-1.2816760100879256,,,,,,,,,,,,,0.055277129119355714,1.3938141946650564,,,125.89254117941665,84,0.0041221474770752695,,,,,,,,,,,,,295.5100977420807
,,,-1.28160145268623,,,,,,,,,,,,,0.055284323205566914,1.393840645984862,,,133.3521432163323,85,0.0039123857099127935,,,,,,,,,,,,,298.86455607414246
,,,-1.2815259015978206,,,,,,,,,,,,,0.05529343403991367,1.3938215730157986,,,141.25375446227542,86,0.003706796089501627,,,,,,,,,,,,,302.4425823688507
,,,-1.2814374786313902,,,,,,,,,,,,,0.05529863572337388,1.393936953038477,,,149.6235656094433,87,0.0035055195166981646,,,,,,,,,,,,,305.8178701400757
,,,-1.2813448497711681,,,,,,,,,,,,,0.055308156201825706,1.3939552245228524,,,158.48931924611125,88,0.003308693936411421,,,,,,,,,,,,,309.6025538444519
,,,-1.281234717173656,,,,,,,,,,,,,0.055312706717470954,1.3941475937315215,,,167.88040181225588,89,0.003116454243062459,,,,,,,,,,,,,313.0083477497101
1.6736092583713108e-14,1.999028483612132e-14,4.2175498964253794e-13,-1.2811203521210706,1.1962824522061967e-39,5.056664698152403e-40,1.6834812665734912e-39,-4.759118526790174e-41,2.4978377398970884e-37,-2.6944032600712766e-37,-2.6181958254589657e-39,-2.227347368323584e-40,-1.2395742442047996e-41,2.291915764222942e-41,1.4219075525417081e-39,-2.829314923885729e-40,0.05532257200918241,1.3942178481585028,5.188147054678224e-41,-5.296395364307687e-38,177.82794100389208,90,0.0029289321881345253,8.876764728224884e-28,-2.4441233807082007e-27,5.412278824211198e-23,4.940791847253637e-23,-1.2390282220182144e-26,5.171742940119914e-26,1.1227989298648365e-30,-2.2613503081840976e-34,2.3296831199843702e-35,3.017426847873588e-36,-2.4782585583860205e-33,2.4667856316161204e-33,316.3724958896637
,,,-1.2810057169610236,,,,,,,,,,,,,0.055330436917889705,1.3943393119523995,,,188.36490894898014,91,0.002746256289877124,,,,,,,,,,,,,319.73849654197693
,,,-1.280874097644034,,,,,,,,,,,,,0.055340604864895025,1.3944501493489956,,,199.52623149688802,92,0.0025685517452260598,,,,,,,,,,,,,323.28973937034607
,,,-1.2807336601626202,,,,,,,,,,,,,0.05534585859084436,1.394709464615884,,,211.34890398366468,93,0.0023959403439996908,,,,,,,,,,,,,326.78236985206604
,,,-1.280609485762712,,,,,,,,,,,,,0.055361155630229905,1.3946704091597824,,,223.8721138568341,94,0.002228540385430291,,,,,,,,,,,,,330.3186068534851
,,,-1.2804784061775,,,,,,,,,,,,,0.05537079933447289,1.3947931150342183,,,237.13737056616563,95,0.0020664665970876474,,,,,,,,,,,,,333.95130133628845
,,,-1.2803274049628304,,,,,,,,,,,,,0.05537423040157637,1.3951279600610116,,,251.18864315095806,96,0.0019098300562505265,,,,,,,,,,,,,337.4039900302887
,,,-1.28018008022744,,,,,,,,,,,,,0.055382099983790775,1.3953407936354112,,,266.07250597988093,97,0.0017587381137798453,,,,,,,,,,,,,340.81219959259033
,,,-1.2800617950715394,,,,,,,,,,,,,0.05539663505616374,1.3953047301505526,,,281.8382931264453,98,0.0016132943205457607,,,,,,,,,,,,,344.1328320503235
,,,-1.2799198447680473,,,,,,,,,,,,,0.055398654814694866,1.395650028916224,,,298.5382618917961,99,0.0014735983564590782,,,,,,,,,,,,,347.3079307079315
