lambda_op_nm,I_peak_Wcm2,E_cell_J,R_avg,T_avg,A_avg,Te_peak_K,I_refl_out_Wcm2,valid_trust(Te<=6000K),valid_model(Te<=8000K)
1302,6.3096e+06,3.4832e-15,0.226047,0.515882,0.258071,304.9,1.4263e+06,1,1
1302,7.9433e+06,4.3851e-15,0.226052,0.515877,0.258070,306.2,1.7956e+06,1,1
1302,1.0000e+07,5.5205e-15,0.226060,0.515871,0.258069,307.8,2.2606e+06,1,1
1302,1.2589e+07,6.9499e-15,0.226069,0.515864,0.258067,309.8,2.8460e+06,1,1
1302,1.5849e+07,8.7494e-15,0.226080,0.515854,0.258065,312.3,3.5831e+06,1,1
1302,1.9953e+07,1.1015e-14,0.226095,0.515842,0.258063,315.5,4.5112e+06,1,1
1302,2.5119e+07,1.3867e-14,0.226114,0.515827,0.258059,319.5,5.6797e+06,1,1
1302,3.1623e+07,1.7457e-14,0.226137,0.515807,0.258055,324.5,7.1511e+06,1,1
1302,3.9811e+07,2.1977e-14,0.226168,0.515783,0.258050,330.8,9.0039e+06,1,1
1302,5.0119e+07,2.7668e-14,0.226206,0.515751,0.258043,338.7,1.1337e+07,1,1
