Te_K,lambda_nm,eps_re,eps_im,T,R,A,Fx,Fy,Fz,Ftot,mean_Ez2_over_Einc2,within_trusted_Te(<=6000K)
3500,1378.0,0.013888,0.478619,0.066383,0.092510,0.841107,0.022147,0.005477,0.813316,0.840940,16.203585,1
3500,1380.0,0.004253,0.481203,0.066704,0.094470,0.838826,0.022053,0.005460,0.811145,0.838658,16.096861,1
4000,1200.0,0.894634,0.260779,0.789629,0.042485,0.167886,0.044243,0.003572,0.120047,0.167862,3.822542,1
4000,1202.0,0.886235,0.262893,0.792698,0.035171,0.172131,0.045543,0.003712,0.122852,0.172107,3.886856,1
4000,1204.0,0.877826,0.265012,0.795126,0.028519,0.176355,0.046892,0.003863,0.125576,0.176330,3.947831,1
4000,1206.0,0.869405,0.267135,0.796857,0.022583,0.180561,0.048293,0.004024,0.128219,0.180535,4.005533,1
4000,1208.0,0.860974,0.269262,0.797815,0.017423,0.184763,0.049746,0.004196,0.130795,0.184737,4.060456,1
4000,1210.0,0.852533,0.271392,0.797918,0.013091,0.188990,0.051248,0.004381,0.133334,0.188964,4.113603,1
4000,1212.0,0.844080,0.273525,0.797083,0.009628,0.193289,0.052799,0.004579,0.135883,0.193261,4.166421,1
4000,1214.0,0.835618,0.275664,0.795217,0.007060,0.197723,0.054398,0.004792,0.138506,0.197695,4.220837,1
4000,1216.0,0.827143,0.277807,0.792243,0.005387,0.202370,0.056043,0.005021,0.141277,0.202341,4.279137,1
4000,1218.0,0.818659,0.279953,0.788075,0.004597,0.207328,0.057736,0.005268,0.144295,0.207298,4.344150,1
4000,1220.0,0.810165,0.282103,0.782643,0.004647,0.212709,0.059480,0.005535,0.147663,0.212678,4.418928,1
4000,1222.0,0.801659,0.284257,0.775887,0.005472,0.218640,0.061283,0.005824,0.151501,0.218608,4.506793,1
4000,1224.0,0.793143,0.286417,0.767761,0.006981,0.225258,0.063157,0.006137,0.155930,0.225224,4.611110,1
4000,1226.0,0.784615,0.288579,0.758236,0.009062,0.232702,0.065117,0.006480,0.161070,0.232666,4.735124,1
4000,1228.0,0.776078,0.290745,0.747300,0.011592,0.241108,0.067190,0.006855,0.167026,0.241070,4.881581,1
4000,1230.0,0.767529,0.292917,0.734968,0.014448,0.250585,0.069403,0.007269,0.173872,0.250545,5.052226,1
4000,1232.0,0.758970,0.295093,0.721231,0.017547,0.261222,0.071796,0.007732,0.181652,0.261179,5.247881,1
4000,1234.0,0.750399,0.297271,0.706065,0.020855,0.273080,0.074427,0.008255,0.190353,0.273035,5.467825,1
4000,1236.0,0.741818,0.299456,0.689368,0.024452,0.286180,0.077362,0.008857,0.199912,0.286131,5.709753,1
4000,1238.0,0.733227,0.301644,0.670954,0.028566,0.300480,0.080675,0.009563,0.210191,0.300428,5.969411,1
