set,id,f_ED,f_MD,f_EQ,f_MQ,T,R
P0750_lam,l1338,0.0915654133303827,0.4808584851512932,0.4229290453089362,0.0046470562093874,0.0816287214040552,0.9181388895967216
P0750_lam,l1338.2,0.092885984463047,0.477080498561036,0.4256485971764197,0.0043849197994971,0.0863053233055325,0.9135434413726576
P0750_lam,l1338.4,0.0941832184725743,0.4734286750924255,0.4282425957167143,0.0041455107182859,0.0907395713328755,0.908998432113385
P0750_lam,l1338.6,0.0954655718707507,0.4698510139753115,0.4307546266628394,0.0039287874910984,0.0952482835692516,0.9047096983742188
P0750_lam,l1338.8,0.0967035867937929,0.4663973733766067,0.4331656168792737,0.0037334229503266,0.099574268626327,0.9001392724756795
P0750_lam,l1339,0.0979758791482305,0.4629064480625186,0.4355610558238625,0.0035566169653881,0.1041283167981731,0.8954927523445955
P0750_lam,l1339.2,0.0993033288548041,0.4593203993330637,0.4379916350474088,0.0033846367647234,0.1087589815278041,0.8910793482502275
P0750_lam,l1339.4,0.100546370775133,0.4559522809089403,0.4402600882426603,0.0032412600732662,0.1132668672021595,0.8867992208305023
P0750_lam,l1339.6,0.1017889944568836,0.4526159319368716,0.4424826415551617,0.0031124320510831,0.117719090462087,0.8822744964730405
P0750_lam,l1339.8,0.1030070649858962,0.449387458253726,0.4446069609856901,0.0029985157746876,0.1221291992590923,0.8778281186366927
P0750_lam,l1340,0.1042650722855342,0.4460693071377352,0.4467705187768927,0.0028951017998377,0.1266986938942419,0.873160527797981
P0750_lam,l1341,0.110308084042887,0.4304472068199015,0.4566725138381831,0.0025721952990282,0.1492695956390304,0.8505581691159219
P0750_lam,l1342,0.115954343169676,0.4162358285812503,0.4653087058284136,0.00250112242066,0.1712374919704505,0.828694153436276
P0750_lam,l1343,0.1213325146454804,0.4030130562814146,0.4730325083356465,0.0026219207374584,0.1933629007427361,0.8064383820468451
P0750_lam,l1344,0.1264299384613912,0.3908109588729517,0.4798767433329762,0.0028823593326807,0.2154588699896808,0.7844421275407544
P0750_lam,l1345,0.1312697980388587,0.3795539670090578,0.4859264054124299,0.0032498295396534,0.2374626059821786,0.7625680028196348
P0750_lam,l1346,0.1357562869433049,0.3693174049008836,0.4912365714681568,0.0036897366876545,0.2592178769538764,0.7406526504059985
P0750_lam,l1347,0.1400143304517966,0.359954759261799,0.4958509762218068,0.0041799340645974,0.2809223018385416,0.7189811459398261
P0750_lam,l1348,0.1440951140200041,0.3513150916976687,0.4998743997642233,0.0047153945181038,0.3026294014756326,0.6971370963015593
P0750_lam,l1349,0.1478924272161997,0.3435855134269368,0.5032599861104186,0.0052620732464449,0.324262132479154,0.6756602592667911
P0750_lam,l1350,0.1515029057862165,0.3366470660885946,0.5060286982472547,0.0058213298779343,0.3458856779985209,0.6541466216976908
P0750_lam,l1351,0.154966643574904,0.3303863168302658,0.508258512171693,0.0063885274231371,0.3670690074134036,0.6328041680005445
P0750_lam,l1352,0.1583037933876201,0.3248899801168474,0.5098506326377377,0.0069555938577948,0.3884724716853037,0.6113438219614642
P0750_lam,l1353,0.1614819791406543,0.3201195843348801,0.5108873129713508,0.0075111235531149,0.4096078706567757,0.5902756835112649
