order,lam_nm,f_t_re,f_t_im,f_r_re,f_r_im,f_T,f_R,b_t_re,b_t_im,b_r_re,b_r_im,b_T,b_R
15,1333.5,-0.06514566391706467,-0.16004528105258942,-0.8803306818008423,0.4073788523674011,0.03792938009582142,0.9612956508471618,-0.06527320295572281,-0.1602151095867157,-0.9037252068519592,0.16535794734954834,0.06211100131864192,0.9375199411057533
15,1334.0,-0.07991203665733337,-0.18588347733020782,-0.8545335531234741,0.4449255168437958,0.048386296447285565,0.9507725948218332,-0.07957873493432999,-0.18552128970623016,-0.8965574502944946,0.18700748682022095,0.07051852649614072,0.9288024308024724
15,1334.5,-0.0954585149884224,-0.20922315120697021,-0.8277651071548462,0.4796772599220276,0.05960875188499638,0.9402381400693445,-0.09536634385585785,-0.209013894200325,-0.8884454965591431,0.20773769915103912,0.08051172837342829,0.9193930178484034
15,1335.0,-0.11099441349506378,-0.2288157343864441,-0.8020366430282593,0.5081573128700256,0.07081029936869314,0.9286871248385613,-0.111338309943676,-0.22898298501968384,-0.879608690738678,0.2259749174118042,0.09048394650315865,0.9089423645254202
15,1335.5,-0.12742693722248077,-0.24641434848308563,-0.775813102722168,0.534767746925354,0.0827811026744148,0.9166146998608727,-0.12748698890209198,-0.24664293229579926,-0.8707289099693298,0.24317090213298798,0.10108827674478944,0.8986002768105046
15,1336.0,-0.14505863189697266,-0.2632993161678314,-0.7497913837432861,0.5585023760795593,0.09616621749611971,0.9040416212857537,-0.14511890709400177,-0.26332569122314453,-0.8603217601776123,0.2597031593322754,0.11317590871112992,0.8867332149128551
15,1336.5,-0.1618044227361679,-0.27746450901031494,-0.7246297597885132,0.5786725282669067,0.1088473269920462,0.8909483853868843,-0.16151121258735657,-0.2773417532444,-0.8502171039581299,0.2747815251350403,0.12471152195914235,0.8752252514908428
15,1337.0,-0.17714905738830566,-0.2892249822616577,-0.7016570568084717,0.5959768891334534,0.12052036302703126,0.8798400130197622,-0.17719291150569916,-0.2890959680080414,-0.8406672477722168,0.2878549098968506,0.13547122066687803,0.864405890716883
15,1337.5,-0.1928255707025528,-0.2999974191188812,-0.6793850660324097,0.6104139089584351,0.1326081413519641,0.867389508295074,-0.19276203215122223,-0.299865186214447,-0.8305115699768066,0.3002963066101074,0.14684941179613478,0.8531387366876064
15,1338.0,-0.20908334851264954,-0.30952298641204834,-0.6554086208343506,0.6254104375839233,0.1447656158018733,0.854895848272369,-0.20922720432281494,-0.3096490800380707,-0.8200175762176514,0.3126389980316162,0.1585048896459523,0.8413624289533601
